Frame 0:
  57, 28, 949, 442
  295, 12, 1109, 146
  68, 94, 1219, 687
  380, 13, 1347, 138
  316, 39, 1188, 272
  361, 95, 1444, 554
  236, 1, 892, 137
  192, 14, 794, 323
  206, 4, 832, 173
  399, 22, 1312, 165
  440, 91, 1801, 607
  362, 95, 1815, 667
  536, 66, 2004, 648
  565, 46, 2033, 549
  319, 31, 1163, 262
  92, 101, 1284, 682
  74, 5, 858, 195
  390, 5, 1415, 127
  519, 5, 1852, 196
  476, 18, 1781, 237
  490, 92, 1984, 649
  517, 79, 2002, 610
  1263, 4, 2025, 339
  335, 80, 2083, 664
  384, 16, 1376, 156
  381, 107, 1600, 608
  473, 32, 2044, 494
  235, 36, 995, 345
  263, 10, 1011, 147
  425, 16, 1942, 335
  408, 99, 1983, 665
  263, 38, 1064, 331
  267, 112, 1360, 650
  643, -2, 2003, 243
  1004, 51, 2055, 647
  195, 4, 895, 153
  529, 59, 2058, 582
  184, 22, 876, 340
  238, 35, 995, 338
  387, 12, 1406, 144
  537, 0, 1864, 167
  558, 3, 1948, 203
  395, 22, 1364, 174
  157, 110, 1318, 682
  471, 44, 1953, 421
  213, 103, 1118, 679
  432, 10, 1454, 160
  371, 27, 1356, 201
  416, 97, 1995, 657
  193, 14, 818, 306
  301, 19, 1123, 168
  463, 9, 1600, 148
  241, 41, 1061, 339
  232, 32, 953, 338
  191, 34, 963, 348
  139, 95, 1083, 686
  138, 12, 822, 304
  355, 18, 1291, 148
  211, 5, 899, 163
  375, 95, 1920, 673
  236, 36, 980, 346
  64, 91, 1058, 693
  528, 1, 1983, 268
  181, 3, 797, 186
  400, 5, 1394, 115
  224, 37, 1001, 349
  453, 25, 1913, 290
  37, 69, 833, 695
  196, 1, 782, 177
  479, 9, 1932, 325
  621, -2, 1991, 209
  354, 123, 1501, 660
  453, 98, 1838, 647
  359, 18, 1375, 178
  502, 93, 2006, 623
  457, 85, 1874, 592
  127, 73, 844, 679
  430, 98, 2099, 658
  210, 8, 897, 172
  524, 14, 2050, 255
  474, 77, 2086, 639
  244, 36, 1014, 335
  466, 72, 1946, 662
  389, 17, 1354, 149
  215, -1, 711, 175
  510, 86, 2054, 642
  406, 44, 2016, 553
  369, 112, 1509, 634
  422, 67, 1911, 1034
  279, 12, 1068, 160
  381, 116, 1506, 635
  555, 54, 2047, 538
  440, 101, 1844, 641
  350, 15, 1306, 148
  348, 18, 1330, 158
  411, 74, 1598, 479
  173, 2, 786, 184
  394, 11, 1390, 131
  493, 91, 1980, 637
  395, 14, 1378, 144

Frame 1:
  41, 24, 936, 426
  286, 11, 1074, 146
  64, 92, 1065, 697
  375, 13, 1340, 139
  303, 44, 1146, 311
  339, 66, 1325, 395
  234, 2, 899, 138
  188, 16, 796, 334
  208, 4, 828, 174
  395, 24, 1329, 172
  425, 94, 1715, 606
  147, 91, 1060, 683
  532, 67, 2005, 649
  556, 49, 2031, 560
  329, 31, 1182, 261
  83, 98, 1206, 690
  69, 6, 869, 207
  386, 5, 1412, 128
  519, 5, 1864, 200
  477, 18, 1778, 239
  490, 92, 1984, 655
  516, 79, 2002, 611
  1248, 4, 2026, 338
  312, 80, 2101, 665
  383, 16, 1369, 156
  376, 106, 1540, 606
  471, 35, 2047, 507
  232, 38, 998, 351
  263, 10, 1008, 147
  423, 16, 1942, 335
  403, 99, 1980, 670
  258, 37, 1054, 332
  233, 105, 1261, 641
  644, -2, 2002, 247
  973, 50, 2053, 647
  204, 5, 898, 155
  524, 58, 2053, 581
  191, 18, 816, 344
  239, 37, 1004, 344
  386, 12, 1401, 146
  542, 0, 1874, 170
  556, 4, 1953, 213
  393, 24, 1364, 183
  166, 104, 1135, 689
  454, 43, 1907, 409
  201, 104, 1141, 689
  434, 10, 1455, 160
  375, 27, 1360, 203
  414, 97, 1995, 659
  197, 15, 827, 312
  300, 19, 1121, 170
  476, 8, 1700, 151
  232, 42, 1053, 346
  231, 32, 948, 342
  185, 33, 947, 355
  160, 95, 1045, 695
  134, 16, 842, 335
  354, 18, 1285, 148
  219, 4, 893, 155
  375, 96, 1925, 681
  233, 35, 970, 348
  63, 90, 1054, 701
  531, 0, 1981, 270
  178, 3, 802, 192
  402, 5, 1393, 115
  220, 40, 1007, 357
  450, 26, 1913, 297
  38, 69, 833, 702
  193, 1, 777, 179
  478, 9, 1933, 326
  620, -2, 1990, 210
  357, 123, 1499, 663
  458, 98, 1856, 655
  357, 18, 1370, 179
  496, 94, 2001, 625
  451, 86, 1867, 594
  129, 73, 842, 685
  431, 98, 2095, 661
  212, 9, 898, 175
  520, 13, 2051, 254
  471, 77, 2079, 640
  245, 38, 1018, 340
  465, 71, 1945, 663
  387, 18, 1352, 154
  207, 0, 728, 179
  510, 87, 2054, 644
  406, 40, 2012, 539
  371, 112, 1511, 632
  415, 62, 1918, 1064
  283, 13, 1076, 160
  382, 115, 1506, 631
  552, 57, 2047, 545
  440, 101, 1838, 643
  342, 15, 1297, 149
  348, 18, 1325, 160
  406, 62, 1517, 404
  175, 2, 796, 185
  393, 11, 1387, 133
  492, 91, 1981, 638
  389, 14, 1371, 145

Frame 2:
  56, 24, 1002, 422
  282, 10, 1060, 146
  62, 91, 1058, 702
  378, 13, 1341, 140
  325, 49, 1213, 316
  298, 62, 1238, 399
  235, 2, 899, 137
  184, 18, 807, 344
  203, 3, 813, 174
  395, 23, 1326, 170
  411, 95, 1650, 606
  61, 81, 1291, 699
  537, 67, 2007, 648
  569, 48, 2032, 560
  344, 31, 1213, 261
  67, 95, 1138, 687
  81, 4, 862, 194
  394, 5, 1415, 128
  522, 6, 1866, 201
  474, 19, 1773, 240
  491, 92, 1981, 659
  518, 79, 1998, 610
  1248, 4, 2027, 336
  345, 79, 2075, 665
  383, 16, 1367, 156
  372, 106, 1534, 606
  479, 28, 2045, 474
  231, 40, 1004, 359
  258, 9, 1000, 148
  426, 16, 1944, 333
  403, 99, 1972, 676
  254, 36, 1053, 327
  135, 103, 1135, 695
