Frame 0:
  220, 8, 887, 183
  404, 25, 1339, 174
  245, 130, 1031, 682
  414, 18, 1390, 167
  399, 18, 1340, 169
  333, 109, 1242, 673
  398, 31, 1295, 184
  260, 42, 1033, 361
  269, 2, 1030, 118
  409, 3, 1409, 125
  515, 95, 1613, 677
  251, 18, 1049, 320
  600, 89, 2014, 646
  603, 81, 2008, 651
  416, 223, 1117, 678
  230, 4, 894, 170
  235, 1, 889, 91
  532, -5, 1786, 174
  573, 7, 2075, 257
  419, 6, 1419, 153
  559, 96, 1997, 671
  545, 91, 2032, 662
  479, 1, 2067, 176
  532, 117, 2005, 691
  459, 22, 1513, 187
  428, 108, 1383, 676
  511, 14, 2066, 284
  271, 35, 1095, 364
  399, 21, 1339, 171
  243, 0, 895, 152
  360, 78, 1351, 672
  285, 161, 1074, 673
  249, 232, 977, 674
  522, 11, 2076, 279
  508, 88, 2034, 662
  396, 24, 1318, 175
  532, 86, 2035, 650
  249, 27, 1021, 329
  283, 80, 1073, 369
  483, 0, 1585, 162
  521, -3, 1770, 176
  551, 3, 2085, 204
  422, 9, 1398, 163
  276, 103, 1086, 679
  224, 4, 907, 177
  349, 80, 1274, 640
  500, -1, 1634, 187
  402, 119, 1291, 685
  236, 0, 923, 153
  256, 32, 1051, 356
  383, 4, 1333, 129
  543, -3, 1771, 174
  423, 357, 1076, 676
  272, 29, 1108, 361
  266, 68, 1033, 522
  239, 89, 1062, 667
  223, 9, 966, 193
  409, 30, 1316, 179
  406, 26, 1318, 174
  471, 96, 2030, 697
  271, 12, 1053, 182
  208, 107, 1059, 679
  450, -2, 1808, 138
  225, 7, 967, 177
  506, -4, 1771, 164
  269, 147, 1043, 677
  231, 0, 893, 143
  191, 82, 1002, 674
  256, 16, 988, 191
  459, 11, 2024, 272
  471, -3, 1762, 151
  311, 83, 1285, 670
  363, 81, 1374, 668
  460, 29, 1504, 224
  530, 76, 1737, 716
  556, 9, 2071, 253
  225, 11, 988, 201
  212, 71, 1062, 674
  291, 14, 1077, 181
  238, 1, 907, 155
  864, 106, 1967, 653
  324, 61, 1105, 369
  547, 93, 2027, 690
  417, 6, 1416, 155
  241, 16, 976, 196
  581, 83, 2020, 748
  512, 86, 2033, 649
  433, 6, 1453, 165
  424, 79, 1696, 692
  359, 58, 1294, 440
  374, 104, 1318, 660
  566, 13, 2060, 272
  523, 81, 1851, 687
  413, 27, 1351, 174
  459, 34, 1471, 215
  388, 110, 1261, 679
  224, 11, 957, 183
  421, 5, 1437, 156
  569, 93, 2028, 690
  420, 22, 1393, 168

Frame 1:
  219, 8, 888, 183
  404, 25, 1342, 174
  250, 131, 1035, 691
  415, 18, 1393, 166
  399, 18, 1343, 169
  336, 107, 1243, 684
  398, 31, 1295, 184
  259, 42, 1031, 365
  269, 2, 1032, 117
  405, 3, 1403, 118
  519, 103, 1608, 686
  231, 7, 1003, 201
  600, 89, 2014, 645
  619, 79, 2004, 652
  415, 229, 1110, 685
  231, 3, 895, 168
  235, 1, 888, 90
